"Annotations";"Received in Downtime";"Severity";"Time Created (Europe/Madrid)";"Assigned User";"Type";"Duplicate Count";"Node";"Category";"Responsable";"Instrucción";"Application";"Object";"Title";"Related CI"
"FALSE";"FALSE";"Major";"2021-05-03T02:54:10.000+0200";"";"AUTO";"7041";"labdb01.labalm.mercadona.es";"Almacenamiento";"";"";"System";"FileSystemSpace:/opt/oradb/logs/mga5000d";"Uso de /opt/oradb/logs/mga5000d al 86.680000 (Umbral: 80)";"labdb01.labalm.mercadona.es"
"TRUE";"FALSE";"Major";"2021-05-27T09:29:30.000+0200";"";"AUTO";"125";"caj10.c8833n.tnd.mercadona.es";"Almacenamiento";"";"";"Aplicacion";"/opt/app/facturar/logs";"Uso de /opt/app/facturar/logs al 89%. (Umbral: 80%)";"caj10.c8833n.tnd.mercadona.es"
"FALSE";"FALSE";"Minor";"2021-05-08T09:08:20.000+0200";"";"MANUAL";"1844";"iv1iw0076.integracion.net";"Windows_ADM";"";"";"Windows_ADM";"iv1iw0076.integracion.net";"MSSQL 2016: Monitoring warning";"iv1iw0076.integracion.net"
"TRUE";"FALSE";"Major";"2021-05-26T22:28:47.000+0200";"Francisco José Pulido Ruiz";"AUTO";"181";"iv1dl0026.itg.mercadona.com";"OS";"";"";"Sistema";"/usr/sbin/xinetd:";"Proceso /usr/sbin/xinetd: no se esta ejecutando ( Total 1 Parametro )";"iv1dl0026.itg.mercadona.com"
"TRUE";"FALSE";"Major";"2021-05-26T15:50:18.000+0200";"jsotoma";"AUTO";"262";"pf1ga0002.cc1.mercadona.com";"Almacenamiento";"Sistemas Almacenamiento CPD";"SL-C0000:https://confluence.mercadona.com/x/MYF4Bw";"";"pf1ga0002.cc1.mercadona.com:/PV_FS_PRO_MICSTR02";"La ocupacion del FS pf1ga0002.cc1.mercadona.com:/PV_FS_PRO_MICSTR02 esta al 84.00%";"pf1ga0002.cc1.mercadona.com"
"FALSE";"FALSE";"Normal";"2021-05-27T13:38:32.000+0200";"";"";"0";"pvvgo0015.ofidona.net";"Virtualizacion_ADM";"";"";"vmware";"";"(Sin Formato): ""_OTA_Caida_de_puerto_de_red_fisico_en_host - Event: Restored uplink redundancy to portgroups (27056709)
Summary: Uplink redundancy restored on virtual switch ""vSwitch0"", portgroups: ""Management Network"". Physical NIC vmnic1 is up.
Date: 05/27/2021 11:38:28 AM
Host: albesx03.alb.mercadona.es
Resource pool: Albalat-Cluster
Data center: Oficinas
Arguments:
    eventTypeId = esx.clear.net.redundancy.restored
    objectId = host-397014
    objectName = albesx03.alb.mercadona.es
    1 = ""vSwitch0""
    2 = ""Management Network""
    3 = vmnic1
"" - [
[1] .1.3.6.1.4.1.6876.4.3.308.0 (Integer): 2 
[2] .1.3.6.1.4.1.6876.4.3.304.0 (OctetString): Critical 
[3] .1.3.6.1.4.1.6876.4.3.305.0 (OctetString): Normal 
[4] .1.3.6.1.4.1.6876.4.3.306.0 (OctetString): _OTA_Caida_de_puerto_de_red_fisico_en_host - Event: Restored uplink redundancy to portgroups (27056709)
Summary: Uplink redundancy restored on virtual switch ""vSwitch0"", portgroups: ""Management Network"". Physical NIC vmnic1 is up.
Date: 05/27/2021 11:38:28 AM
Host: albesx03.alb.mercadona.es
Resource pool: Albalat-Cluster
Data center: Oficinas
Arguments:
    eventTypeId = esx.clear.net.redundancy.restored
    objectId = host-397014
    objectName = albesx03.alb.mercadona.es
    1 = ""vSwitch0""
    2 = ""Management Network""
    3 = vmnic1
 
[5] .1.3.6.1.4.1.6876.4.3.307.0 (OctetString): albesx03.alb.mercadona.es ]";"pvvgo0015.ofidona.net"
"FALSE";"FALSE";"Minor";"2021-05-26T14:11:49.000+0200";"";"MANUAL";"23";"sn8848.tnd.mercadona.es";"Explotacion_Tienda_ADM";"";"";"jcl";"obtener_inventario_inconf_DT.sh";"Informacion Dispositivos:Error al procesar informacion recibida de INCONF";"sn8848.tnd.mercadona.es"
"FALSE";"FALSE";"Minor";"2021-05-12T04:05:51.000+0200";"Miguel Antonio Ramon Llorens";"MANUAL";"5274";"pvvil0103.ccv.mercadona.com";"LOGIS_ADM";"";"";"LOGIS";"/opt/oraas/logs/appweb/logis.log";"ERROR";"pvvil0103.ccv.mercadona.com"
"FALSE";"FALSE";"Critical";"2021-04-30T18:13:06.000+0200";"";"AUTO";"7545";"lbmgadb02.laba21.mercadona.com";"Almacenamiento";"";"";"System";"FileSystemSpace:/opt";"Uso de /opt al 90.460000 (Umbral: 90)";"lbmgadb02.laba21.mercadona.com"
"TRUE";"FALSE";"Critical";"2021-05-21T16:48:20.000+0200";"Francisco José Pulido Ruiz";"AUTO";"1690";"iv1il0319.itg.mercadona.com";"Almacenamiento";"";"";"Sistema";"FileSystemSpace:/home";"Uso de /home al 92.620000 (Umbral: 90)";"iv1il0319.itg.mercadona.com"
